	Date	Temp	Rain	zipcode	count	Day	Hour	Weekday	Lat	Lon	Type
0	2014-05-01-00	48	0.16	10016.0	4	1	0	3	40.741862	-73.98273	yellow
1	2014-05-01-00	48	0.16	10016.0	4	1	0	3	40.741862	-73.98273	yellow
2	2014-05-01-00	48	0.16	10016.0	4	1	0	3	40.741862	-73.98273	yellow
3	2014-05-01-00	48	0.16	10016.0	4	1	0	3	40.741862	-73.98273	yellow
4	2014-05-01-00	49	0.24	10016.0	4	1	0	3	40.741862	-73.98273	yellow
5	2014-05-01-00	49	0.24	10016.0	4	1	0	3	40.741862	-73.98273	yellow
6	2014-05-01-00	49	0.24	10016.0	4	1	0	3	40.741862	-73.98273	yellow
7	2014-05-01-00	49	0.24	10016.0	4	1	0	3	40.741862	-73.98273	yellow
8	2014-05-01-00	49	0.25	10016.0	4	1	0	3	40.741862	-73.98273	yellow
9	2014-05-01-00	49	0.25	10016.0	4	1	0	3	40.741862	-73.98273	yellow
10	2014-05-01-00	49	0.25	10016.0	4	1	0	3	40.741862	-73.98273	yellow
11	2014-05-01-00	49	0.25	10016.0	4	1	0	3	40.741862	-73.98273	yellow
12	2014-05-01-00	49	0.26	10016.0	4	1	0	3	40.741862	-73.98273	yellow
13	2014-05-01-00	49	0.26	10016.0	4	1	0	3	40.741862	-73.98273	yellow
14	2014-05-01-00	49	0.26	10016.0	4	1	0	3	40.741862	-73.98273	yellow
15	2014-05-01-00	49	0.26	10016.0	4	1	0	3	40.741862	-73.98273	yellow
16	2014-05-01-05	52	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
17	2014-05-01-05	52	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
18	2014-05-01-05	52	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
19	2014-05-01-05	52	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
20	2014-05-01-05	52	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
21	2014-05-01-05	52	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
22	2014-05-01-05	52	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
23	2014-05-01-05	52	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
24	2014-05-01-05	52	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
25	2014-05-01-05	52	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
26	2014-05-01-05	53	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
27	2014-05-01-05	53	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
28	2014-05-01-05	53	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
29	2014-05-01-05	53	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
30	2014-05-01-05	53	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
31	2014-05-01-05	53	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
32	2014-05-01-05	53	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
33	2014-05-01-05	53	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
34	2014-05-01-05	53	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
35	2014-05-01-05	53	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
36	2014-05-01-05	54	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
37	2014-05-01-05	54	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
38	2014-05-01-05	54	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
39	2014-05-01-05	54	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
40	2014-05-01-05	54	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
41	2014-05-01-05	54	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
42	2014-05-01-05	54	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
43	2014-05-01-05	54	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
44	2014-05-01-05	54	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
45	2014-05-01-05	54	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
46	2014-05-01-05	54	0.08	10018.0	5	1	5	3	40.755085	-73.991872	yellow
47	2014-05-01-05	54	0.08	10018.0	5	1	5	3	40.755085	-73.991872	yellow
48	2014-05-01-05	54	0.08	10018.0	5	1	5	3	40.755085	-73.991872	yellow
49	2014-05-01-05	54	0.08	10018.0	5	1	5	3	40.755085	-73.991872	yellow
50	2014-05-01-05	54	0.08	10018.0	5	1	5	3	40.755085	-73.991872	yellow
51	2014-05-01-05	54	0.08	10036.0	5	1	5	3	40.761277	-73.997772	yellow
52	2014-05-01-05	54	0.08	10036.0	5	1	5	3	40.761277	-73.997772	yellow
53	2014-05-01-05	54	0.08	10036.0	5	1	5	3	40.761277	-73.997772	yellow
54	2014-05-01-05	54	0.08	10036.0	5	1	5	3	40.761277	-73.997772	yellow
55	2014-05-01-05	54	0.08	10036.0	5	1	5	3	40.761277	-73.997772	yellow
56	2014-05-01-05	55	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
57	2014-05-01-05	55	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
58	2014-05-01-05	55	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
59	2014-05-01-05	55	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
60	2014-05-01-05	55	0.01	10018.0	5	1	5	3	40.755085	-73.991872	yellow
61	2014-05-01-05	55	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
62	2014-05-01-05	55	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
63	2014-05-01-05	55	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
64	2014-05-01-05	55	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
65	2014-05-01-05	55	0.01	10036.0	5	1	5	3	40.761277	-73.997772	yellow
66	2014-05-01-06	54	0.03	10021.0	3	1	6	3	40.767958	-73.955865	yellow
67	2014-05-01-06	54	0.03	10021.0	3	1	6	3	40.767958	-73.955865	yellow
68	2014-05-01-06	54	0.03	10021.0	3	1	6	3	40.767958	-73.955865	yellow
69	2014-05-01-06	54	0.03	11211.0	3	1	6	3	40.7154	-73.9445	uber
70	2014-05-01-06	54	0.03	11211.0	3	1	6	3	40.7154	-73.9445	uber
71	2014-05-01-06	54	0.03	11211.0	3	1	6	3	40.7154	-73.9445	uber
72	2014-05-01-06	54	0.03	11215.0	3	1	6	3	40.6634	-73.9894	uber
73	2014-05-01-06	54	0.03	11215.0	3	1	6	3	40.6634	-73.9894	uber
74	2014-05-01-06	54	0.03	11215.0	3	1	6	3	40.6634	-73.9894	uber
75	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
76	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
77	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
78	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
79	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
80	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
81	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
82	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
83	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
84	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
85	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
86	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
87	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
88	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
89	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
90	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
91	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
92	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
93	2014-05-01-07	55	0	10018.0	4	1	7	3	40.752102	-73.989152	yellow
94	2014-05-01-07	55	0	10018.0	4	1	7	3	40.752102	-73.989152	yellow
95	2014-05-01-07	55	0	10018.0	4	1	7	3	40.754222	-73.995717	yellow
96	2014-05-01-07	55	0	10018.0	4	1	7	3	40.754222	-73.995717	yellow
97	2014-05-01-07	55	0	10128.0	2	1	7	3	40.779317	-73.947517	yellow
98	2014-05-01-07	55	0	10128.0	2	1	7	3	40.779317	-73.947517	yellow
99	2014-05-01-07	55	0	11103.0	2	1	7	3	40.767577	-73.911947	yellow
100	2014-05-01-07	55	0	11103.0	2	1	7	3	40.767577	-73.911947	yellow
101	2014-05-01-07	56	0.01	10018.0	4	1	7	3	40.752102	-73.989152	yellow
102	2014-05-01-07	56	0.01	10018.0	4	1	7	3	40.752102	-73.989152	yellow
103	2014-05-01-07	56	0.01	10018.0	4	1	7	3	40.754222	-73.995717	yellow
104	2014-05-01-07	56	0.01	10018.0	4	1	7	3	40.754222	-73.995717	yellow
105	2014-05-01-07	56	0.01	10128.0	2	1	7	3	40.779317	-73.947517	yellow
106	2014-05-01-07	56	0.01	10128.0	2	1	7	3	40.779317	-73.947517	yellow
107	2014-05-01-07	56	0.01	11103.0	2	1	7	3	40.767577	-73.911947	yellow
108	2014-05-01-07	56	0.01	11103.0	2	1	7	3	40.767577	-73.911947	yellow
109	2014-05-01-08	57	0	10021.0	2	1	8	3	40.769812	-73.96467	yellow
110	2014-05-01-08	57	0	10021.0	2	1	8	3	40.769812	-73.96467	yellow
111	2014-05-01-08	57	0	10022.0	2	1	8	3	40.760967	-73.967077	yellow
112	2014-05-01-08	57	0	10022.0	2	1	8	3	40.760967	-73.967077	yellow
113	2014-05-01-08	57	0	10025.0	2	1	8	3	40.801367	-73.96879	yellow
114	2014-05-01-08	57	0	10025.0	2	1	8	3	40.801367	-73.96879	yellow
115	2014-05-01-08	57	0	10028.0	2	1	8	3	40.7751	-73.9551	uber
116	2014-05-01-08	57	0	10028.0	2	1	8	3	40.7751	-73.9551	uber
117	2014-05-01-08	57	0	10034.0	2	1	8	3	40.7765	-73.9821	uber
118	2014-05-01-08	57	0	10034.0	2	1	8	3	40.7765	-73.9821	uber
119	2014-05-01-08	57	0	10036.0	4	1	8	3	40.7598	-73.9872	uber
120	2014-05-01-08	57	0	10036.0	4	1	8	3	40.7598	-73.9872	uber
121	2014-05-01-08	57	0	10036.0	4	1	8	3	40.7628	-73.995	uber
122	2014-05-01-08	57	0	10036.0	4	1	8	3	40.7628	-73.995	uber
123	2014-05-01-08	57	0.01	10021.0	2	1	8	3	40.769812	-73.96467	yellow
124	2014-05-01-08	57	0.01	10021.0	2	1	8	3	40.769812	-73.96467	yellow
125	2014-05-01-08	57	0.01	10022.0	2	1	8	3	40.760967	-73.967077	yellow
126	2014-05-01-08	57	0.01	10022.0	2	1	8	3	40.760967	-73.967077	yellow
127	2014-05-01-08	57	0.01	10025.0	2	1	8	3	40.801367	-73.96879	yellow
128	2014-05-01-08	57	0.01	10025.0	2	1	8	3	40.801367	-73.96879	yellow
129	2014-05-01-08	57	0.01	10028.0	2	1	8	3	40.7751	-73.9551	uber
130	2014-05-01-08	57	0.01	10028.0	2	1	8	3	40.7751	-73.9551	uber
131	2014-05-01-08	57	0.01	10034.0	2	1	8	3	40.7765	-73.9821	uber
132	2014-05-01-08	57	0.01	10034.0	2	1	8	3	40.7765	-73.9821	uber
