	Weekday	Hour	Temp	Rain	zipcode	count	rush
0	3	0	48	0.16	10016.0	4	False
1	3	0	49	0.24	10016.0	4	False
2	3	0	49	0.25	10016.0	4	False
3	3	0	49	0.26	10016.0	4	False
4	3	5	52	0.01	10018.0	5	False
5	3	5	52	0.01	10036.0	5	False
6	3	5	53	0.01	10018.0	5	False
7	3	5	53	0.01	10036.0	5	False
8	3	5	54	0.01	10018.0	5	False
9	3	5	54	0.01	10036.0	5	False
10	3	5	54	0.08	10018.0	5	False
11	3	5	54	0.08	10036.0	5	False
12	3	5	55	0.01	10018.0	5	False
13	3	5	55	0.01	10036.0	5	False
14	3	6	54	0.03	10021.0	3	False
15	3	6	54	0.03	11211.0	3	False
16	3	6	54	0.03	11215.0	3	False
17	3	6	55	0.02	10021.0	6	False
18	3	6	55	0.02	11211.0	6	False
19	3	6	55	0.02	11215.0	6	False
20	3	7	55	0	10018.0	4	True
21	3	7	55	0	10128.0	2	True
22	3	7	55	0	11103.0	2	True
23	3	7	56	0.01	10018.0	4	True
24	3	7	56	0.01	10128.0	2	True
25	3	7	56	0.01	11103.0	2	True
26	3	8	57	0	10021.0	2	True
27	3	8	57	0	10022.0	2	True
28	3	8	57	0	10025.0	2	True
29	3	8	57	0	10028.0	2	True
30	3	8	57	0	10034.0	2	True
31	3	8	57	0	10036.0	4	True
32	3	8	57	0.01	10021.0	2	True
33	3	8	57	0.01	10022.0	2	True
34	3	8	57	0.01	10025.0	2	True
35	3	8	57	0.01	10028.0	2	True
36	3	8	57	0.01	10034.0	2	True
37	3	8	57	0.01	10036.0	4	True
38	3	9	57	0	10001.0	2	True
39	3	9	57	0	10016.0	2	True
40	3	9	57	0	10022.0	4	True
41	3	9	57	0	10023.0	4	True
42	3	9	57	0	10028.0	4	True
43	3	9	58	0	10001.0	2	True
44	3	9	58	0	10016.0	2	True
45	3	9	58	0	10022.0	4	True
46	3	9	58	0	10023.0	4	True
47	3	9	58	0	10028.0	4	True
48	3	10	58	0	10023.0	1	True
49	3	10	58	0	10025.0	1	True
50	3	11	58	0	10013.0	1	False
51	3	11	58	0	10021.0	1	False
52	3	12	61	0	10010.0	1	False
53	3	12	61	0	11434.0	1	False
54	3	13	61	0	10022.0	2	False
55	3	13	62	0	10022.0	2	False
56	3	14	62	0	10022.0	8	False
57	3	14	62	0	10035.0	8	False
58	3	14	62	0	10036.0	8	False
59	3	14	62	0	11040.0	8	False
60	3	14	64	0	10022.0	8	False
61	3	14	64	0	10035.0	8	False
62	3	14	64	0	10036.0	8	False
63	3	14	64	0	11040.0	8	False
64	3	15	68	0	10009.0	1	False
65	3	15	68	0	10013.0	1	False
66	3	15	68	0	10018.0	1	False
67	3	16	71	0	10011.0	2	False
68	3	16	71	0	10016.0	1	False
69	3	16	71	0	10017.0	1	False
70	3	16	71	0	10018.0	1	False
71	3	16	71	0	10035.0	1	False
72	3	16	71	0	10036.0	1	False
73	3	16	71	0	11368.0	1	False
74	3	17	73	0	10003.0	1	False
75	3	17	73	0	10014.0	1	False
76	3	17	73	0	10016.0	2	False
77	3	17	73	0	10019.0	1	False
78	3	17	73	0	10022.0	1	False
79	3	18	76	0	10010.0	2	False
80	3	18	76	0	10011.0	1	False
81	3	18	76	0	10013.0	1	False
82	3	18	76	0	10019.0	1	False
83	3	18	76	0	10035.0	1	False
84	3	18	76	0	10037.0	1	False
85	3	18	76	0	10038.0	1	False
86	3	18	76	0	10128.0	1	False
87	3	19	77	0	10014.0	1	False
88	3	19	77	0	10038.0	1	False
89	3	19	77	0	10069.0	1	False
90	3	19	77	0	11434.0	1	False
91	3	20	76	0	10016.0	2	False
92	3	21	77	0	10021.0	1	False
93	3	21	77	0	10023.0	1	False
94	3	21	77	0	10111.0	1	False
95	3	21	77	0	11368.0	1	False
96	3	22	76	0	10001.0	1	False
97	3	22	76	0	10010.0	1	False
98	3	22	76	0	10013.0	1	False
99	3	22	76	0	10014.0	1	False
100	3	22	76	0	10018.0	1	False
101	3	22	76	0	11368.0	1	False
102	3	23	72	0	10003.0	1	False
103	3	23	72	0	10011.0	1	False
104	3	23	72	0	10013.0	1	False
105	3	23	72	0	10014.0	1	False
106	3	23	72	0	10021.0	2	False
107	3	23	72	0	11368.0	1	False
108	4	0	70	0	10002.0	1	False
109	4	0	70	0	10017.0	1	False
110	4	0	70	0	11368.0	1	False
111	4	1	71	0	10014.0	1	False
112	4	1	71	0	10017.0	1	False
113	4	3	65	0	10001.0	1	False
114	4	6	60	0	10014.0	1	False
115	4	7	58	0	10025.0	1	True
116	4	7	58	0	10128.0	1	True
117	4	8	56	0	10002.0	1	True
118	4	8	56	0	10003.0	1	True
119	4	8	56	0	10017.0	1	True
120	4	8	56	0	10025.0	1	True
121	4	8	56	0	10028.0	1	True
122	4	9	56	0	10013.0	1	True
123	4	9	56	0	10021.0	1	True
124	4	9	56	0	10022.0	1	True
125	4	9	56	0	10023.0	1	True
126	4	9	56	0	10025.0	1	True
127	4	9	56	0	10128.0	1	True
128	4	10	57	0	10023.0	1	True
129	4	10	57	0	10028.0	1	True
130	4	10	57	0	10111.0	1	True
131	4	11	58	0	10013.0	1	False
132	4	11	58	0	10014.0	1	False
133	4	11	58	0	10016.0	1	False
134	4	11	58	0	10018.0	1	False
135	4	12	59	0	10007.0	1	False
136	4	12	59	0	10023.0	1	False
137	4	13	62	0	10004.0	1	False
138	4	13	62	0	10017.0	1	False
139	4	13	62	0	10025.0	1	False
140	4	13	62	0	10034.0	1	False
141	4	13	62	0	10037.0	1	False
142	4	13	62	0	11434.0	1	False
143	4	14	64	0	10019.0	2	False
144	4	14	64	0	11105.0	1	False
145	4	14	64	0	11434.0	2	False
146	4	15	65	0	10017.0	1	False
147	4	15	65	0	10019.0	1	False
148	4	15	65	0	10025.0	1	False
149	4	15	65	0	10028.0	1	False
150	4	15	65	0	11201.0	1	False
151	4	16	66	0	10012.0	1	False
152	4	16	66	0	10019.0	2	False
153	4	16	66	0	10037.0	1	False
154	4	16	66	0	11434.0	1	False
155	4	17	66	0	10011.0	1	False
156	4	17	66	0	10019.0	1	False
157	4	17	66	0	10035.0	1	False
158	4	17	66	0	11368.0	1	False
159	4	18	69	0	10013.0	2	False
160	4	18	69	0	10036.0	1	False
161	4	18	69	0	10069.0	1	False
162	4	19	68	0	10004.0	1	False
163	4	19	68	0	10010.0	1	False
164	4	19	68	0	10018.0	1	False
165	4	19	68	0	10028.0	1	False
166	4	20	67	0	10001.0	1	False
167	4	20	67	0	10003.0	2	False
168	4	20	67	0	10011.0	1	False
169	4	20	67	0	10012.0	1	False
170	4	20	67	0	10019.0	1	False
171	4	21	67	0	10003.0	1	False
172	4	21	67	0	10009.0	1	False
173	4	21	67	0	10010.0	1	False
174	4	21	67	0	10011.0	1	False
175	4	21	67	0	11104.0	1	False
176	4	22	65	0	10001.0	1	False
177	4	22	65	0	10010.0	1	False
178	4	22	65	0	10019.0	1	False
179	4	22	65	0	10036.0	1	False
180	4	22	65	0	10280.0	1	False
181	4	22	65	0	11102.0	1	False
182	4	23	63	0	10003.0	1	False
183	4	23	63	0	10012.0	1	False
184	4	23	63	0	10018.0	1	False
185	4	23	63	0	10023.0	1	False
186	4	23	63	0	10036.0	1	False
187	4	23	63	0	10128.0	1	False
188	5	0	62	0	10011.0	1	False
189	5	0	62	0	10019.0	2	False
190	5	0	62	0	11215.0	1	False
191	5	1	61	0	10014.0	1	False
192	5	1	61	0	10017.0	1	False
193	5	1	61	0	10027.0	1	False
194	5	3	59	0	10001.0	1	False
195	5	3	59	0	10016.0	1	False
196	5	3	59	0	11211.0	1	False
197	5	4	59	0	10018.0	1	False
198	5	4	59	0	10019.0	1	False
199	5	5	57	0	10012.0	1	False
200	5	6	57	0	10003.0	1	False
201	5	7	57	0	10012.0	1	True
202	5	7	57	0	11374.0	1	True
203	5	8	56	0	10001.0	1	True
204	5	8	56	0	10003.0	1	True
205	5	8	56	0	10021.0	1	True
206	5	9	54	0	10011.0	1	True
207	5	9	54	0	10012.0	1	True
208	5	9	54	0	10016.0	1	True
209	5	9	54	0	10018.0	1	True
210	5	9	54	0	10021.0	1	True
211	5	9	54	0	10028.0	1	True
212	5	10	55	0	10011.0	1	True
213	5	10	55	0	10017.0	1	True
214	5	10	55	0	10035.0	1	True
215	5	11	57	0	10001.0	2	False
216	5	11	57	0	10003.0	1	False
217	5	11	57	0	10019.0	1	False
218	5	11	57	0	10023.0	1	False
219	5	12	60	0	10001.0	1	False
220	5	12	60	0	10011.0	1	False
221	5	12	60	0	10012.0	1	False
222	5	13	62	0	10016.0	1	False
223	5	14	64	0	10011.0	3	False
224	5	14	64	0	10017.0	1	False
225	5	14	64	0	10018.0	1	False
226	5	14	64	0	10021.0	1	False
227	5	14	64	0	10022.0	1	False
228	5	14	64	0	10024.0	1	False
229	5	14	64	0	10038.0	1	False
230	5	15	66	0	10011.0	2	False
231	5	15	66	0	10013.0	1	False
232	5	15	66	0	10022.0	1	False
233	5	15	66	0	10024.0	2	False
234	5	15	66	0	11213.0	1	False
235	5	15	66	0	11414.0	1	False
236	5	16	68	0	10001.0	2	False
237	5	16	68	0	10011.0	1	False
238	5	16	68	0	10019.0	1	False
239	5	16	68	0	10038.0	1	False
240	5	16	68	0	11211.0	1	False
241	5	17	70	0	10010.0	1	False
242	5	17	70	0	10011.0	1	False
243	5	17	70	0	10028.0	1	False
244	5	18	66	0	10011.0	1	False
245	5	18	66	0	10014.0	1	False
246	5	18	66	0	10282.0	1	False
247	5	19	67	0	10003.0	1	False
248	5	19	67	0	10023.0	1	False
249	5	20	66	0	10001.0	1	False
250	5	20	66	0	10013.0	1	False
251	5	20	66	0	10014.0	1	False
252	5	20	66	0	10017.0	1	False
253	5	20	66	0	10019.0	1	False
254	5	20	66	0	10021.0	1	False
255	5	20	66	0	10025.0	1	False
256	5	20	66	0	10038.0	1	False
257	5	21	65	0	10010.0	1	False
258	5	21	65	0	10014.0	1	False
259	5	21	65	0	10035.0	1	False
260	5	21	65	0	10036.0	1	False
261	5	22	64	0	10011.0	2	False
262	5	22	64	0	10014.0	1	False
263	5	22	64	0	11101.0	1	False
264	5	22	64	0	11201.0	1	False
265	5	23	57	0.03	10003.0	2	False
266	5	23	57	0.03	10009.0	2	False
267	5	23	57	0.03	10019.0	2	False
268	5	23	57	0.03	10027.0	2	False
269	5	23	57	0.03	10036.0	2	False
270	5	23	57	0.03	11211.0	2	False
271	5	23	59	0.06	10003.0	2	False
272	5	23	59	0.06	10009.0	2	False
273	5	23	59	0.06	10019.0	2	False
274	5	23	59	0.06	10027.0	2	False
275	5	23	59	0.06	10036.0	2	False
276	5	23	59	0.06	11211.0	2	False
277	6	0	54	0.01	10002.0	2	False
278	6	0	54	0.01	10006.0	2	False
279	6	0	54	0.01	10010.0	2	False
280	6	0	54	0.01	10016.0	2	False
281	6	0	57	0.07	10002.0	2	False
282	6	0	57	0.07	10006.0	2	False
283	6	0	57	0.07	10010.0	2	False
284	6	0	57	0.07	10016.0	2	False
285	6	1	56	0	10002.0	1	False
286	6	1	56	0	10003.0	1	False
287	6	1	56	0	10011.0	1	False
288	6	1	56	0	10024.0	1	False
289	6	1	56	0	11211.0	1	False
290	6	2	58	0	10001.0	1	False
291	6	2	58	0	10014.0	1	False
292	6	2	58	0	10019.0	2	False
293	6	3	56	0.01	10005.0	1	False
294	6	4	55	0	11211.0	1	False
295	6	7	56	0	10017.0	2	True
296	6	8	55	0	10006.0	1	True
297	6	8	55	0	10019.0	1	True
298	6	8	55	0	10035.0	1	True
299	6	9	54	0	10016.0	1	True
300	6	10	55	0	10016.0	1	True
301	6	10	55	0	10017.0	1	True
302	6	10	55	0	10025.0	1	True
303	6	11	57	0	10036.0	1	False
304	6	12	57	0	10019.0	1	False
